name,stars,review_count,price,score,poi,cityname,address,,,,
星巴克,40,613,￥49/人,口味:7.7 环境:7.5 服务:7.6,"{""lat"": 121.456893, ""lng"": 31.245731}",上海市,天目西路218号一楼A-1号,,,,
星巴克,40,150,￥41/人,口味:8.3 环境:8.5 服务:8.2,"{""lat"": 121.46566, ""lng"": 31.27799}",上海市,株洲路329号1-2层,,,,
星巴克,40,184,￥40/人,口味:8.0 环境:7.8 服务:7.7,"{""lat"": 121.449657, ""lng"": 31.28414}",上海市,灵石路695号3号楼1楼大堂,,,,
星巴克,40,109,￥41/人,口味:7.9 环境:7.9 服务:8.0,"{""lat"": 121.39872, ""lng"": 31.20637}",上海市,仙霞路333号1层S105单元,,,,
星巴克,35,193,￥53/人,口味:7.9 环境:7.9 服务:7.7,"{""lat"": 121.37667, ""lng"": 31.191648}",上海市,虹桥路2270万豪大酒店A段101-1,,,,
星巴克,35,479,￥42/人,口味:7.8 环境:7.8 服务:7.5,"{""lat"": 121.443015, ""lng"": 31.233622}",上海市,常德路800号,,,,
星巴克,40,181,￥40/人,口味:8.1 环境:8.3 服务:8.1,"{""lat"": 121.469755, ""lng"": 31.25092274603154}",上海市,西藏北路558号上海铭德大酒店1层,,,,
星巴克,40,280,￥40/人,口味:7.6 环境:7.5 服务:7.5,"{""lat"": 121.454569, ""lng"": 31.228585}",上海市,陕西北路278号金鹰国际购物中心1楼,,,,
星巴克,35,336,￥45/人,口味:7.8 环境:7.7 服务:7.6,"{""lat"": 121.45641, ""lng"": 31.25648}",上海市,芷江西路488号五月花广场西区1层,,,,
星巴克,40,371,￥37/人,口味:8.0 环境:8.0 服务:7.7,"{""lat"": 121.438783, ""lng"": 31.237375}",上海市,安远路553号,,,,
星巴克,40,168,￥45/人,口味:7.9 环境:8.0 服务:7.6,"{""lat"": 121.45231, ""lng"": 31.23245}",上海市,新闸路1250号创意园10号楼一层5室-10室,,,,
星巴克,40,287,￥38/人,口味:7.9 环境:8.0 服务:8.0,"{""lat"": 121.401803, ""lng"": 31.211745}",上海市,天山路762号巴黎春天西区1层15,,,,
星巴克,40,389,￥38/人,口味:7.8 环境:7.8 服务:7.8,"{""lat"": 121.402483, ""lng"": 31.209224}",上海市,茅台路179号金虹桥国际中心1层,,,,
星巴克,35,200,￥40/人,口味:7.4 环境:7.6 服务:7.3,"{""lat"": 121.392468, ""lng"": 31.198404}",上海市,水城南路85号,,,,
星巴克,35,165,￥33/人,口味:7.8 环境:7.8 服务:7.6,"{""lat"": 121.407313, ""lng"": 31.207744}",上海市,遵义路100号虹桥南丰B1层B101单元,,,,
星巴克,35,121,￥35/人,口味:7.7 环境:7.6 服务:7.6,"{""lat"": 121.429208, ""lng"": 31.200092}",上海市,淮海花园280号,,,,
星巴克,35,283,￥41/人,口味:7.4 环境:7.5 服务:7.3,"{""lat"": 121.405198, ""lng"": 31.204943}",上海市,兴义路8号万都中心大厦一层S102、S106商铺,,,,
星巴克,35,109,￥41/人,口味:7.7 环境:7.6 服务:7.0,"{""lat"": 121.431568, ""lng"": 31.218967}",上海市,江苏路369号,,,,
星巴克,40,228,￥39/人,口味:7.9 环境:8.0 服务:8.0,"{""lat"": 121.42298, ""lng"": 31.203991}",上海市,新华路519号1B室,,,,
星巴克,35,438,￥42/人,口味:7.9 环境:7.7 服务:7.8,"{""lat"": 121.45545, ""lng"": 31.24916}",上海市,秣陵路303号50幢N2单元,,,,
星巴克,35,329,￥38/人,口味:7.9 环境:7.7 服务:7.5,"{""lat"": 121.456598, ""lng"": 31.242846}",上海市,恒丰路299号隆宇国际商务广场中101-07号商铺,,,,
星巴克,35,147,￥39/人,口味:7.7 环境:7.6 服务:7.7,"{""lat"": 121.443717, ""lng"": 31.222434}",上海市,南京西路1788号1788国际中心B1层,,,,
星巴克,35,259,￥43/人,口味:7.9 环境:7.9 服务:7.6,"{""lat"": 121.45883, ""lng"": 31.29835}",上海市,江场路1228号协信星光广场1层,,,,
星巴克,40,429,￥36/人,口味:7.8 环境:7.4 服务:7.7,"{""lat"": 121.42979, ""lng"": 31.20233}",上海市,新华路160号上海影城底层001号商铺,,,,
星巴克,40,148,￥37/人,口味:7.7 环境:7.6 服务:7.7,"{""lat"": 121.43339, ""lng"": 31.2052}",上海市,华山路1568号1层102室,,,,
星巴克,35,214,￥39/人,口味:7.8 环境:7.6 服务:7.6,"{""lat"": 121.45252, ""lng"": 31.24603}",上海市,恒汇广场天目西路437、439号,,,,
星巴克,35,261,￥39/人,口味:7.8 环境:7.8 服务:7.6,"{""lat"": 121.45831, ""lng"": 31.296169}",上海市,寿阳路99号协信星光广场南区1层101A,,,,
星巴克,35,133,￥37/人,口味:7.6 环境:7.6 服务:7.5,"{""lat"": 121.399166, ""lng"": 31.198557}",上海市,红宝石路500号1F-106,,,,
